Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,Year
1992-93,NBA,New Jersey Nets*,43,39,.524,3rd of 7,1.20,96.0,-0.8,106.5,-1.5,105.2,-2.8,Lost E. Conf. 1st Rnd.,C. Daly(43-39),D. Coleman(9.5),1993
1991-92,NBA,New Jersey Nets*,40,42,.488,3rd of 7,-1.54,98.0,1.4,107.0,-1.2,108.7,0.5,Lost E. Conf. 1st Rnd.,B. Fitch(40-42),D. Petrović(7.7),1992
1990-91,NBA,New Jersey Nets,26,56,.317,5th of 6,-4.53,99.3,1.5,102.9,-5.0,107.4,-0.5,0,B. Fitch(26-56),D. Coleman(5.8),1991
1989-90,NBA,New Jersey Nets,17,65,.207,6th of 6,-7.82,99.3,1.0,100.7,-7.4,108.6,0.5,0,B. Fitch(17-65),S. Bowie(4.7),1990
1988-89,NBA,New Jersey Nets,26,56,.317,5th of 6,-5.69,100.1,-0.5,103.0,-4.8,109.3,1.5,0,W. Reed(26-56),L. Conner(6.2),1989
1987-88,NBA,New Jersey Nets,19,63,.232,5th of 5,-6.98,98.6,-1.0,101.4,-6.6,109.6,1.6,0,"D. Wohl(2-13),B. MacKinnon(10-29),W. Reed(7-21)",B. Williams(7.6),1988
1986-87,NBA,New Jersey Nets,24,58,.293,4th of 5,-4.42,101.8,1.0,105.6,-2.7,110.5,2.2,0,D. Wohl(24-58),B. Williams(7.9),1987
1985-86,NBA,New Jersey Nets*,39,43,.476,4th of 5,-1.39,103.3,1.2,105.0,-2.2,106.9,-0.3,Lost E. Conf. 1st Rnd.,D. Wohl(39-43),M. Gminski(9.2),1986
1984-85,NBA,New Jersey Nets*,42,40,.512,3rd of 5,0.64,101.0,-1.1,107.9,0.0,107.7,-0.2,Lost E. Conf. 1st Rnd.,S. Albeck(42-40),M. Richardson(8.7),1985
1983-84,NBA,New Jersey Nets*,45,37,.549,4th of 5,1.27,103.0,1.6,106.1,-1.5,105.0,-2.6,Lost E. Conf. Semis,S. Albeck(45-37),D. Dawkins(7.9),1984
1982-83,NBA,New Jersey Nets*,49,33,.598,3rd of 5,2.77,104.0,0.9,101.6,-3.1,98.9,-5.8,Lost E. Conf. 1st Rnd.,"L. Brown(47-29),B. Blair(2-4)",B. Williams(11.4),1983
1981-82,NBA,New Jersey Nets*,44,38,.537,3rd of 5,0.87,103.1,2.2,103.0,-3.9,102.3,-4.6,Lost E. Conf. 1st Rnd.,L. Brown(44-38),B. Williams(8.9),1982
1980-81,NBA,New Jersey Nets,24,58,.293,5th of 5,-5.15,105.2,3.4,101.0,-4.5,106.7,1.2,0,"K. Loughery(12-23),B. MacKinnon(12-35)",M. Newlin(6.1),1981
1979-80,NBA,New Jersey Nets,34,48,.415,5th of 5,-0.98,106.1,3.0,101.5,-3.8,102.5,-2.8,0,K. Loughery(34-48),M. Newlin(6.5),1980
1978-79,NBA,New Jersey Nets*,37,45,.451,3rd of 5,-4.00,109.5,3.7,98.0,-5.8,101.8,-2.0,Lost E. Conf. 1st Rnd.,K. Loughery(37-45),B. King(6.5),1979
1977-78,NBA,New Jersey Nets,24,58,.293,5th of 5,-5.61,110.9,4.2,95.0,-5.9,100.2,-0.7,0,K. Loughery(24-58),B. King(5.9),1978
1976-77,NBA,New York Nets,22,60,.268,5th of 5,-6.54,103.7,-2.8,92.2,-7.3,98.7,-0.8,0,K. Loughery(22-60),J. van Breda Kolff(4.5),1977
1975-76,ABA,New York Nets*,55,29,.655,2nd of 0,2.56,105.9,-1.0,104.4,0.3,101.7,-2.4,Won Finals,K. Loughery(55-29),J. Erving(17.7),1976
1974-75,ABA,New York Nets*,58,26,.690,2nd of 5,6.58,103.4,0.3,106.3,1.6,98.9,-5.8,Lost E. Div. Semis,K. Loughery(58-26),J. Erving(17.6),1975
1973-74,ABA,New York Nets*,55,29,.655,1st of 5,4.80,105.0,2.4,103.5,0.5,98.4,-4.6,Won Finals,K. Loughery(55-29),J. Erving(16.5),1974
1972-73,ABA,New York Nets*,30,54,.357,4th of 5,-5.80,104.5,-4.8,98.8,-3.0,105.0,3.2,Lost E. Div. Semis,L. Carnesecca(30-54),B. Paultz(5.6),1973
1971-72,ABA,New York Nets*,44,40,.524,3rd of 6,0.21,108.8,-3.1,102.3,1.7,101.9,1.3,Lost Finals,L. Carnesecca(44-40),R. Barry(11.1),1972
1970-71,ABA,New York Nets*,40,44,.476,3rd of 6,-0.86,107.3,-3.8,103.0,-2.0,103.5,-1.5,Lost E. Div. Semis,L. Carnesecca(40-44),R. Barry(8.1),1971
1969-70,ABA,New York Nets*,39,45,.464,4th of 6,-1.02,107.2,-2.0,100.7,-2.0,101.5,-1.2,Lost E. Div. Semis,Y. Larese(39-45),L. Tart(10.9),1970
1968-69,ABA,New York Nets,17,61,.218,5th of 5,-7.89,109.4,0.0,98.4,-5.6,106.3,2.3,0,M. Zaslofsky(17-61),W. Simon(3.4),1969
1967-68,ABA,New Jersey Americans,36,42,.462,5th of 5,-1.13,108.2,1.2,102.2,0.9,103.7,2.4,0,M. Zaslofsky(36-42),D. Anderson(7.9),1968
